Model,Platform,Benchmark Suite,Benchmark,Dataset,Oracle Mapping,Predicted Mapping,Correct?,Speedup
Static mapping,amd_tahiti_7970,npb-3.3,makea_3,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_3,A,1,0,0,0.7392093689762382
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_3,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_3,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_3,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_3,B,1,1,1,4.60693132660924
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_3,B,1,1,1,4.60693132660924
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_3,B,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_3,B,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_3,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_3,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_3,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_3,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_3,C,1,1,1,6.723880699587845
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_3,C,1,1,1,6.723880699587845
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_3,C,1,1,1,6.723880699587845
Static mapping,amd_tahiti_7970,npb-3.3,makea_3,C,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_3,C,1,0,0,0.15146928237767926
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_3,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_3,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_3,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_3,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_3,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_3,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_3,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_3,S,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_3,S,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_3,S,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_3,S,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_3,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_3,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_3,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_3,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_3,W,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_3,W,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_3,W,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_3,W,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_4,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_4,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_4,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_4,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_4,A,1,0,0,0.6107441835181562
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_4,A,1,0,0,0.6107441835181562
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_4,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_4,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_4,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_4,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_4,B,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_4,B,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_4,B,1,0,0,0.853059800289406
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_4,B,1,0,0,0.853059800289406
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_4,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_4,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_4,C,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_4,C,0,1,0,0.1406477424555694
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_4,C,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_4,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_4,C,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_4,C,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_4,C,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_4,C,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_4,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_4,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_4,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_4,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_4,S,1,0,0,0.3830779605139924
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_4,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_4,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_4,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_4,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_4,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_4,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_4,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_4,W,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_4,W,0,0,1,2.700764907690459
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_4,W,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_4,W,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_5,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_5,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_5,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_5,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_5,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_5,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_5,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_5,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_5,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_5,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_5,B,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_5,B,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_5,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_5,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_5,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_5,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_5,C,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_5,C,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_5,C,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_5,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_5,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_5,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_5,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_5,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_5,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_5,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_5,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_5,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_5,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_5,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_5,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_5,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_5,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_5,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_5,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_5,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_5,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_5,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_5,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_5,W,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_6,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_6,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_6,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_6,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_6,A,0,0,1,1.3104420406743829
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_6,A,0,0,1,1.3104420406743829
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_6,A,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_6,A,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_6,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_6,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_6,B,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_6,B,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_6,B,0,0,1,1.5494388308850924
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_6,B,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_6,B,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_6,B,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_6,C,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_6,C,0,1,0,0.803361184205733
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_6,C,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_6,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_6,C,0,0,1,1.5735947138683832
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_6,C,0,0,1,1.5735947138683832
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_6,C,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_6,C,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_6,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_6,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_6,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_6,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_6,S,1,0,0,0.7821367545309391
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_6,S,1,0,0,0.7821367545309391
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_6,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_6,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_6,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_6,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_6,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_6,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_6,W,0,0,1,1.0893275393788282
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_6,W,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_6,W,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_6,W,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_7,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_7,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_7,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_7,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_7,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_7,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_7,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_7,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_7,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_7,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_7,B,0,1,0,0.21909591652984478
Static mapping,amd_tahiti_7970,npb-3.3,makea_7,B,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_7,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_7,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_7,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_7,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_7,C,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_7,C,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_7,C,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_7,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_7,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_7,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_7,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_7,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_7,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_7,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_7,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_7,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_7,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_7,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_7,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_7,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,makea_7,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,makea_7,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,makea_7,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,makea_7,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,makea_7,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,makea_7,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,makea_7,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,makea_7,W,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,ninvr,A,1,1,1,1.0460732140134057
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,ninvr,A,1,1,1,1.0460732140134057
Grewe et al.,amd_tahiti_7970,npb-3.3,ninvr,A,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,ninvr,A,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,ninvr,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,ninvr,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,ninvr,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,ninvr,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,ninvr,B,1,1,1,3.3420174358667776
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,ninvr,B,1,1,1,3.3420174358667776
Grewe et al.,amd_tahiti_7970,npb-3.3,ninvr,B,1,1,1,3.3420174358667776
Static mapping,amd_tahiti_7970,npb-3.3,ninvr,B,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,ninvr,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,ninvr,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,ninvr,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,ninvr,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,ninvr,C,1,1,1,5.051720052783682
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,ninvr,C,1,1,1,5.051720052783682
Grewe et al.,amd_tahiti_7970,npb-3.3,ninvr,C,1,1,1,5.051720052783682
Static mapping,amd_tahiti_7970,npb-3.3,ninvr,C,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,ninvr,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,ninvr,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,ninvr,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,ninvr,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,ninvr,S,0,1,0,0.14210468727643064
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,ninvr,S,0,1,0,0.14210468727643064
Grewe et al.,amd_tahiti_7970,npb-3.3,ninvr,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,ninvr,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,ninvr,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,ninvr,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,ninvr,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,ninvr,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,ninvr,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,ninvr,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,ninvr,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,ninvr,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,ninvr,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,ninvr,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,ninvr,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,ninvr,W,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr1,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr1,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr1,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr1,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr1,A,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr1,A,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,pintgr1,A,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,pintgr1,A,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr1,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr1,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr1,B,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr1,B,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr1,B,1,0,0,0.7565913174278194
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr1,B,1,0,0,0.7565913174278194
Grewe et al.,nvidia_gtx_960,npb-3.3,pintgr1,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,pintgr1,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr1,C,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr1,C,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr1,C,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr1,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr1,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr1,C,1,0,0,0.5924257585880603
Grewe et al.,nvidia_gtx_960,npb-3.3,pintgr1,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,pintgr1,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr1,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr1,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr1,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr1,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr1,S,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr1,S,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,pintgr1,S,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,pintgr1,S,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr1,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr1,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr1,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr1,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr1,W,0,0,1,1.3762400793650793
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr1,W,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,pintgr1,W,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,pintgr1,W,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr2,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr2,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr2,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr2,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr2,A,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr2,A,0,0,1,1.112261761196506
Grewe et al.,nvidia_gtx_960,npb-3.3,pintgr2,A,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,pintgr2,A,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr2,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr2,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr2,B,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr2,B,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr2,B,1,0,0,0.8485368570513403
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr2,B,1,0,0,0.8485368570513403
Grewe et al.,nvidia_gtx_960,npb-3.3,pintgr2,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,pintgr2,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr2,C,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr2,C,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr2,C,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr2,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr2,C,1,0,0,0.7359587002640374
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr2,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,pintgr2,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,pintgr2,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr2,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr2,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr2,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr2,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr2,S,0,0,1,1.6391715609311703
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr2,S,0,0,1,1.6391715609311703
Grewe et al.,nvidia_gtx_960,npb-3.3,pintgr2,S,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,pintgr2,S,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,pintgr2,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,pintgr2,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,pintgr2,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,pintgr2,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,pintgr2,W,0,0,1,1.3140367799370662
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,pintgr2,W,0,1,0,1.0
